ticker,current_price,weight
DKS,198.979995727539,0.08
OC,113.150001525879,0.08
HTGC,18.7900009155273,0.06
HRB,43.5499992370606,0.0545735390834106
WSO,343.049987792969,0.0513833783292463
SNA,349.670013427734,0.0443580526095777
ARES,163.229995727539,0.0429478392312007
MO,57.7700004577637,0.04
FR,58.1399993896484,0.04
FDP,35.4799995422363,0.04
EGP,181.5,0.0360955602325477
NXST,205.139999389648,0.03
EOG,105.660003662109,0.03
MPLX,53.6399993896484,0.0299999999999999
CNQ,33.9099998474121,0.0299999999999999
RDN,36.2900009155273,0.028984591330609
CTRE,36.9300003051758,0.023899343658516
DKL,45.2799987792969,0.0229484726508674
ADP,259.529998779297,0.0210379170402504
NJR,46.3499984741211,0.019334191103404
AMGN,328.690002441406,0.0183863095099254
AGM,177.020004272461,0.0180675694381904
PLD,129.009994506836,0.0157770526802694
GFF,74.2099990844727,0.0155381679020757
APH,136.199996948242,0.014470563993948
ABBV,229.740005493164,0.0129641041339355
REG,69.5999984741211,0.0128833836718611
WSM,181.399993896484,0.0112545183232984
FAST,40.8699989318848,0.00872040115910062
UVV,53.0200004577637,0.00781799345070117
TSCO,50.3600006103516,0.00713019112503855
IMO,86.9599990844727,0.00705152734913238
AVT,48.939998626709,0.00631871813876781
NEU,697.950012207031,0.00609914601025445
MRK,106.059997558594,0.00603858319393163
ATO,168.580001831055,0.00594749813594509
UFPI,92.0999984741211,0.00488903658927126
KR,62.6800003051758,0.0045730689714512
SR,83.120002746582,0.00292577634752334
DHI,145.529998779297,0.002882815870563
HD,346.350006103516,0.00233173642472298
RS,291.510009765625,0.00162282056268186
EVRG,73.1999969482422,0.00067846290300111
PM,161.949996948242,6.76688447801384E-05
